Episode,Event,X_Pos
1494,death,295
1495,death,304
1496,death,723
1497,death,1435
1498,death,311
1499,death,1436
1500,death,312
1501,death,302
1502,death,1435
1503,death,698
1504,death,686
1505,death,816
1506,death,310
1507,death,680
1508,death,1434
1509,death,691
1510,death,1128
1511,death,709
1512,death,801
1513,death,305
1514,death,709
1515,death,1234
1516,death,303
1517,death,706
1518,death,834
1519,death,857
1520,death,310
1521,death,304
1522,death,283
1523,death,314
1524,death,712
1525,death,300
1526,death,281
1527,death,1411
1528,death,306
1529,death,266
1530,death,907
1531,death,840
1532,death,839
1533,death,712
1534,death,723
1535,death,855
1536,death,689
1537,death,682
1538,death,856
1539,death,298
1540,death,1125
1541,death,682
1542,death,277
1543,death,695
1544,death,303
1545,death,1130
1546,death,833
1547,death,688
1548,death,1519
1549,death,1514
1550,death,274
1551,death,298
1552,death,1415
1553,death,276
1554,death,291
1555,death,1155
1556,death,667
1557,death,698
1558,death,267
1559,death,723
1560,death,1403
1561,death,314
1562,death,679
1563,death,304
1564,death,700
1565,death,687
1566,death,701
1567,death,1411
1568,death,835
1569,death,291
1570,death,1638
1571,death,1409
1572,death,710
1573,death,693
1574,death,683
1575,death,681
1576,death,694
1577,death,697
1578,death,860
1579,death,287
1580,death,314
1581,death,299
1582,death,708
1583,death,308
1584,death,899
1585,death,678
1586,death,722
1587,death,685
1588,death,840
1589,death,868
1590,death,302
1591,death,685
1592,death,307
1593,death,1152
1594,death,1783
1595,death,696
1596,death,1128
1597,death,1153
1598,death,692
1599,death,301
1600,death,723
1601,death,309
1602,death,722
1603,death,1436
1604,death,309
1605,death,1128
1606,death,693
1607,death,684
1608,death,1124
1609,death,1140
1610,death,309
1611,death,708
1612,death,302
1613,death,695
1614,death,700
1615,death,315
1616,death,798
1617,death,266
1618,death,683
1619,death,691
1620,death,307
1621,death,1434
1622,death,704
1623,death,305
1624,death,300
1625,death,305
1626,death,312
1627,death,298
1628,death,1125
1629,death,683
1630,death,812
1631,death,299
1632,death,308
1633,death,1436
1634,death,684
1635,death,1424
1636,death,682
1637,death,303
1638,death,899
1639,death,690
1640,death,724
1641,death,1666
1642,death,697
1643,death,311
1644,death,286
1645,death,312
1646,death,296
1647,death,302
1648,death,703
1649,death,703
1650,death,310
1651,death,310
1652,death,1442
1653,death,298
1654,death,697
1655,death,898
1656,death,684
1657,death,704
1658,death,693
1659,death,722
1660,death,691
1661,death,723
1662,death,847
1663,death,273
1664,death,1129
1665,death,1127
1666,death,677
1667,death,292
1668,death,1128
1669,death,708
1670,death,703
1671,death,1433
1672,death,812
1673,death,1149
1674,death,1124
1675,death,296
1676,death,898
1677,death,679
1678,death,297
1679,death,307
1680,death,829
1681,death,1420
1682,death,257
1683,death,302
1684,death,309
1685,death,311
1686,death,694
1687,death,304
1688,death,1519
1689,death,1408
1690,death,1434
1691,death,1139
1692,death,898
1693,death,722
1694,death,2471
1695,death,842
1696,death,683
1697,death,899
1698,death,1411
1699,death,723
1700,death,1132
1701,death,695
1702,death,299
1703,death,286
1704,death,301
1705,death,287
1706,death,286
1707,death,311
1708,death,682
1709,death,705
1710,death,290
1711,death,286
1712,death,724
1713,death,709
1714,death,900
1715,death,837
1716,death,690
1717,death,679
1718,death,899
1719,death,1129
1720,death,1127
1721,death,827
1722,death,700
1723,death,674
1724,death,798
1725,death,1124
1726,death,1125
1727,death,1232
1728,death,844
1729,death,298
1730,death,307
1731,death,1669
1732,death,679
1733,death,724
1734,death,899
1735,death,305
1736,death,295
1737,death,1427
1738,death,711
1739,death,312
1740,death,1788
1741,death,838
1742,death,307
1743,death,825
1744,death,711
1745,death,1138
1746,death,863
1747,death,306
1748,death,688
1749,death,831
1750,death,682
1751,death,300
1752,death,690
1753,death,305
1754,death,1129
1755,death,292
1756,death,1443
1757,death,1127
1758,death,1128
1759,death,1127
1760,death,1232
1761,death,705
1762,death,272
1763,death,306
1764,death,301
1765,death,274
1766,death,817
1767,death,303
1768,death,1410
1769,death,683
1770,death,845
1771,death,313
1772,death,810
1773,death,1233
1774,death,813
1775,death,707
1776,death,308
1777,death,689
1778,death,686
1779,death,1125
1780,death,829
1781,death,1136
1782,death,677
1783,death,285
1784,death,1151
1785,death,295
1786,death,309
1787,death,303
1788,death,702
1789,death,1127
1790,death,723
1791,death,1123
1792,death,680
1793,death,1126
1794,death,672
1795,death,696
1796,death,1127
1797,death,686
1798,death,303
1799,death,686
1800,death,299
1801,death,898
1802,death,313
1803,death,686
1804,death,1123
1805,death,312
1806,death,314
1807,death,684
1808,death,1126
1809,death,1130
1810,death,685
1811,death,290
1812,death,1235
1813,death,706
1814,death,311
1815,death,1121
1816,death,306
1817,death,299
1818,death,1125
1819,death,685
1820,death,1391
1821,death,698
1822,death,301
1823,death,668
1824,death,1223
1825,death,304
1826,death,304
1827,death,705
1828,death,272
1829,death,672
1830,death,292
1831,death,693
1832,death,684
1833,death,291
1834,death,685
1835,death,687
1836,death,301
1837,death,298
1838,death,311
