Episode,Event,X_Pos
1403,death,312
1404,death,1136
1405,death,293
1406,death,1223
1407,death,312
1408,death,900
1409,death,838
1410,death,282
1411,death,859
1412,death,711
1413,death,899
1414,death,682
1415,death,1128
1416,death,1235
1417,death,313
1418,death,267
1419,death,710
1420,death,292
1421,death,827
1422,death,274
1423,death,1513
1424,death,843
1425,death,890
1426,death,301
1427,death,293
1428,death,281
1429,death,654
1430,death,702
1431,death,301
1432,death,827
1433,death,689
1434,death,1433
1435,death,713
1436,death,1245
1437,death,301
1438,death,1123
1439,death,294
1440,death,684
1441,death,1129
1442,death,1967
1443,death,304
1444,death,688
1445,death,289
1446,death,1126
1447,death,1131
1448,death,311
1449,death,898
1450,death,843
1451,death,710
1452,death,1128
1453,death,1131
1454,death,689
1455,death,1126
1456,death,1436
1457,death,292
1458,death,857
1459,death,872
1460,death,288
1461,death,683
1462,death,253
1463,death,282
1464,death,798
1465,death,1137
1466,death,688
1467,death,659
1468,death,723
1469,death,304
1470,death,671
1471,death,693
1472,death,882
1473,death,299
1474,death,308
1475,death,289
1476,death,268
1477,death,693
1478,death,308
1479,death,287
1480,death,299
1481,death,1127
1482,death,723
1483,death,1124
1484,death,301
1485,death,723
1486,death,297
1487,death,1134
1488,death,818
1489,death,703
1490,death,883
1491,death,724
1492,death,1421
1493,death,706
1494,death,291
1495,death,314
1496,death,843
1497,death,689
1498,death,1138
1499,death,864
1500,death,706
1501,death,669
1502,death,286
1503,death,315
1504,death,849
1505,death,283
1506,death,1415
1507,death,307
1508,death,1146
1509,death,861
1510,death,303
1511,death,677
1512,death,688
1513,death,295
1514,death,307
1515,death,307
1516,death,297
1517,death,1139
1518,death,312
1519,death,287
1520,death,664
1521,death,1131
1522,death,307
1523,death,311
1524,death,724
1525,death,692
1526,death,284
1527,death,688
1528,death,723
1529,death,306
1530,death,1408
1531,death,301
1532,death,292
1533,death,1412
1534,death,308
1535,death,1125
1536,death,1128
1537,death,307
1538,death,685
1539,death,288
1540,death,1125
1541,death,315
1542,death,688
1543,death,697
1544,death,701
1545,death,1240
1546,death,723
1547,death,308
1548,death,1126
1549,death,311
1550,death,706
1551,death,723
1552,death,870
1553,death,705
1554,death,1430
1555,death,846
1556,death,306
1557,death,1136
1558,death,275
1559,death,687
1560,death,293
1561,death,697
1562,death,679
1563,death,824
1564,death,1128
1565,death,1153
1566,death,274
1567,death,692
1568,death,257
1569,death,1222
1570,death,1124
1571,death,271
1572,death,1123
1573,death,1126
1574,death,1122
1575,death,311
1576,death,302
1577,death,306
1578,death,277
1579,death,298
1580,death,302
1581,death,306
1582,death,863
1583,death,1408
1584,death,681
1585,death,703
1586,death,1126
1587,death,300
1588,death,1780
1589,death,1128
1590,death,900
1591,death,1129
1592,death,307
1593,death,306
1594,death,849
1595,death,676
1596,death,821
1597,death,797
1598,death,308
1599,death,298
1600,death,699
1601,death,683
1602,death,695
1603,death,1438
1604,death,313
1605,death,699
1606,death,1223
1607,death,1122
1608,death,899
1609,death,300
1610,death,1418
1611,death,899
1612,death,702
1613,death,827
1614,death,1123
1615,death,710
1616,death,310
1617,death,1125
1618,death,1127
1619,death,688
1620,death,303
1621,death,703
1622,death,1130
1623,death,1218
1624,death,697
1625,death,1415
1626,death,299
1627,death,307
1628,death,302
1629,death,723
1630,death,690
1631,death,1519
1632,death,702
1633,death,1663
1634,death,308
1635,death,311
1636,death,695
1637,death,297
1638,death,899
1639,death,308
1640,death,700
1641,death,284
1642,death,304
1643,death,312
1644,death,307
1645,death,813
1646,death,698
1647,death,701
1648,death,859
1649,death,819
1650,death,255
1651,death,310
1652,death,282
1653,death,843
1654,death,1128
1655,death,1136
1656,death,296
1657,death,297
1658,death,282
1659,death,723
1660,death,278
1661,death,707
1662,death,688
1663,death,1244
1664,death,713
1665,death,291
1666,death,313
1667,death,288
1668,death,295
1669,death,1128
1670,death,271
1671,death,1410
1672,death,1129
1673,death,1125
1674,death,1430
1675,death,689
1676,death,723
1677,death,1418
1678,death,1241
1679,death,284
1680,death,310
1681,death,1219
1682,death,708
1683,death,690
1684,death,709
1685,death,709
1686,death,673
1687,death,700
1688,death,1124
1689,death,288
1690,death,900
1691,death,703
1692,death,826
1693,death,798
1694,death,681
